PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.41 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=54.9 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=66.6 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=96.3 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=52.8 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=25.7 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=39.9 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=42.9 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=51.2 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=34.9 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=41.9 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=31.1 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=55.1 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=35.0 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=33.3 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=28.6 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=35.0 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=58.7 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=23.1 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=23.3 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=23.4 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=24.9 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=27.1 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=34.5 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=68.9 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=72.4 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=78.6 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=34.4 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=72.1 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=79.2 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=43.9 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=60.2 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=36.9 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=98.3 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=48.3 ms
